population_size,mutation_rate,elite_size,crossover_rate,avg_fitness,std_fitness,max_fitness,min_fitness,avg_generations,std_generations
200,0.2,10,0.9,153800.0,6256.1969278468205,159900,145200,439.0,46.783187863447985
200,0.2,10,0.95,153233.33333333334,2619.5843605851333,156300,149900,323.3333333333333,35.6682242650545
200,0.2,20,0.7,154200.0,2758.0186124583474,157800,151100,397.3333333333333,15.627610892974722
200,0.2,20,0.8,149066.66666666666,2485.066509282107,152500,146700,561.3333333333334,97.14021938528975
200,0.2,20,0.9,154400.0,3488.074922742725,158400,149900,420.3333333333333,101.30591734389897
200,0.2,20,0.95,152966.66666666666,3561.21078036982,157500,148800,459.0,127.0196835140129
200,0.3,5,0.7,153833.33333333334,1144.0668201153676,155400,152700,537.0,244.55810488852472
200,0.3,5,0.8,152400.0,6788.716128007318,157300,142800,427.0,58.04021594262608
200,0.3,5,0.9,153633.33333333334,1579.7327481430382,154800,151400,465.3333333333333,137.33252426946146
200,0.3,5,0.95,155133.33333333334,1887.3850222522753,157800,153700,629.3333333333334,260.20035015776256
200,0.3,10,0.7,154266.66666666666,4534.558657931577,159100,148200,421.0,48.14561246884289
200,0.3,10,0.8,153833.33333333334,5256.953067657686,160900,148300,342.0,50.0199960015992
200,0.3,10,0.9,143800.0,4472.88124888943,149900,139300,379.3333333333333,91.7327034862098
200,0.3,10,0.95,155900.0,2405.549140355829,159300,154100,345.3333333333333,19.293061504650375
200,0.3,20,0.7,154433.33333333334,1302.134998974974,155500,152600,417.3333333333333,69.82995218544993
200,0.3,20,0.8,148666.66666666666,1922.382780706162,151100,146400,411.6666666666667,63.80351784101633
200,0.3,20,0.9,147400.0,1994.9937343260003,150200,145700,366.6666666666667,46.991725039864434
200,0.3,20,0.95,156166.66666666666,2740.2351886086144,159900,153400,423.6666666666667,67.06381703687582
500,0.05,5,0.7,151300.0,4809.019304043878,158100,147800,415.3333333333333,110.71384536522771
500,0.05,5,0.8,157633.33333333334,3308.9105289942318,162300,155000,568.3333333333334,134.25431919391727
500,0.05,5,0.9,154933.33333333334,3671.8145680606235,160100,151900,438.3333333333333,161.3533045490203
500,0.05,5,0.95,153600.0,2376.2715894162156,155800,150300,429.3333333333333,105.4208497193774
500,0.05,10,0.7,151700.0,2654.555832275273,155000,148500,486.0,167.58480440262676
